17
AS 	25	10	16	6	1	6	9	14	0	1	1	0	7	1	10	0	2
CTC 	10	52	16	7	18	22	8	9	0	2	12	3	5	3	15	11	4
CTXML 	16	16	39	2	9	4	15	21	0	0	8	3	8	2	20	6	1
CASS 	6	10	9	1	3	6	11	21	0	1	13	2	6	4	19	4	8
DSOO 	6	7	2	14	4	4	1	2	0	0	3	0	2	0	5	3	1
GCD 	1	18	9	4	23	5	5	7	0	1	5	4	0	1	7	10	3
GPI 	6	22	4	4	5	26	3	3	0	1	6	2	3	2	10	1	2
IPM 	9	8	15	1	5	3	46	32	0	1	8	8	3	2	27	5	14
IIO 	14	9	21	2	7	3	32	67	0	1	16	14	6	8	43	11	23
PO 	1	2	0	0	1	1	1	1	0	4	1	0	1	0	0	0	0
PMP 	1	12	8	3	5	6	8	16	0	1	31	0	3	2	17	6	6
RCTCP/IP 	0	3	3	0	4	2	8	14	0	0	0	19	1	4	11	6	11
RCR 	7	5	8	2	0	3	3	6	0	1	3	1	15	3	3	1	0
SSRC 	1	3	2	0	1	2	2	8	0	0	2	4	3	14	3	5	7
SBD 	10	15	20	5	7	10	27	43	0	0	17	11	3	3	64	10	22
SO 	0	11	6	3	10	1	5	11	0	0	6	6	1	5	10	25	9
SD 	2	4	1	1	3	2	14	23	0	0	6	11	0	7	22	9	32
